Life expectancy,Adult Mortality,infant deaths,Income composition of resources,Schooling
81.5,83,3,0.885,16.1
81.7,83,3,0.882,16.1
81.3,86,3,0.879,16
81.1,88,3,0.879,16
89,88,3,0.877,16.1
89,89,3,0.873,16.1
86,92,3,0.87,16.1
81,93,3,0.86,15.5
82,94,3,0.857,15.5
79.3,99,3,0.852,15.4
79.2,11,3,0.851,15.5
79,13,3,0.849,15.6
78.8,13,3,0.844,15.7
66,229,2,0.694,12.6
65.5,237,2,0.687,12.6
64.6,255,2,0.678,12.5
63.5,276,2,0.669,12.5
62.8,289,2,0.664,12.5
62.3,294,2,0.66,12.5
61.7,31,2,0.652,12.4
61.6,298,2,0.651,12.4
61.6,291,2,0.645,12.4
61.4,288,2,0.646,12.4
65,37,2,0.64,12.4
59.7,322,2,0.64,12.3
59.7,32,2,0.638,12.3
59.7,315,2,0.636,12.3
59.8,37,2,0.633,12.3
61,296,2,0.637,12.2
61.1,262,3,0.45,8.9
68,266,3,0.449,8.9
66,266,3,0.445,8.9
62,269,3,0.44,8.8
59.8,277,3,0.441,8.7
59.3,284,3,0.439,8.8
59,286,3,0.434,8.9
58.7,287,3,0.426,8.6
58.5,288,3,0.42,8.4
58.2,288,3,0.415,8.1
57.7,294,3,0.412,7.8
57.3,296,3,0.404,7.6
57,297,3,0.395,7.3
56.6,298,3,0.392,7
56.3,3,3,0.384,6.8
55.9,33,3,0.377,6.5
74.4,129,1,0.768,13.9
74.5,125,1,0.759,13.5
74.5,128,1,0.755,13.5
74.2,13,1,0.749,13.4
73.9,127,1,0.742,13.3
73.8,132,1,0.738,13.3
73.2,133,1,0.734,12.8
73.9,128,1,0.735,13.1
74.4,12,1,0.722,12.5
73.9,126,1,0.714,12.6
73.9,128,1,0.703,12.2
72.3,134,1,0.694,12
72.7,132,1,0.684,11.8
71.7,142,2,0.677,11.8
73,121,2,0.673,11.7
71.8,129,2,0,11.4
81,68,2,0.924,17.1
89,69,2,0.92,17
86,71,2,0.919,16.9
86,71,2,0.916,16.9
85,74,2,0.912,16.8
81,76,2,0.907,16.7
80,79,2,0.906,16.7
79.9,8,2,0.903,16.6
79.8,82,3,0.898,16.6
79.6,84,3,0.892,16.5
79.2,85,3,0.884,16.4
79.1,86,3,0.877,16.4
78.5,9,3,0.872,16.3
78.4,91,3,0.867,16.3
78.3,92,3,0.86,16.2
78,95,3,0.855,16.2
62.4,249,37,0.575,11.4
62.1,253,37,0.576,11.7
61.9,254,38,0.57,11.5
61.6,257,39,0.563,11.2
61.2,263,40,0.554,10.9
69,267,40,0.547,10.5
66,271,41,0.542,10.4
63,275,41,0.53,9.8
59.9,28,41,0.519,9.1
59.4,288,41,0.51,8.7
58.9,296,41,0.499,8.1
58.3,34,41,0.491,7.7
57.9,38,41,0.489,7.9
57.6,31,42,0.484,7.6
57.4,39,42,0.485,8
57.2,38,43,0.48,7.7
81,72,0,0.865,17.2
88,73,0,0.862,17.2
86,74,0,0.86,17.1
84,76,0,0.858,16.8
85,76,0,0.86,16.7
83,76,0,0.859,16.4
80,78,0,0.857,16.2
79.9,77,0,0.853,15.9
79.4,8,0,0.855,16.4
79.7,77,0,0.85,16.3
79.3,81,0,0.839,15.6
79.2,81,0,0.83,15.3
79.1,81,0,0.823,15.2
79,81,1,0.811,14.6
78.7,83,1,0.801,14.2
78.2,84,1,0.794,13.9
73.6,142,0,0.751,15.8
73.5,143,0,0.749,15.8
73.3,144,0,0.746,15.8
73.1,146,0,0.744,15.8
72.9,15,0,0.741,15.8
72.6,154,0,0,15.8
72.4,158,0,0,15.6
72.1,162,0,0,15.4
71.9,164,0,0,15.3
71.7,167,0,0,15.1
71.5,169,0,0,14.9
73,187,0,0,14.8
71.1,173,0,0,14.6
79,176,0,0,14.4
77,178,0,0,14.3
74,182,0,0,14.1
71.9,186,10,0.637,10.7
71.7,187,10,0.614,10.7
71.4,189,11,0.611,10.7
71.3,189,11,0.616,10.6
71.1,193,11,0.609,10.5
77,196,12,0.602,10.5
76,198,12,0.596,10.4
79,19,13,0.589,10.4
75,192,13,0.578,10.1
69.7,24,14,0.57,9.8
69.2,28,14,0.567,9.6
69.6,21,15,0.564,9.3
69.4,24,15,0.56,9
69.3,21,16,0.553,8.8
68.4,211,16,0.546,8.5
67.7,221,17,0.539,8.2
59,284,26,0.414,8.8
58.1,299,27,0.412,8.6
58.8,284,27,0.406,8.5
58.4,288,28,0.396,8.5
58.1,29,28,0.385,8.4
57.8,291,29,0.38,8.3
57.3,297,29,0.376,8.1
56.8,33,30,0.371,7.9
56.4,36,31,0.364,7.6
55.6,317,31,0.356,7.1
54.7,327,32,0.346,6.6
54,334,33,0.325,5.1
53.3,338,34,0.338,5.9
52.9,337,35,0.329,5.5
52.5,336,36,0.322,5.1
52.5,328,37,0.316,4.8
58.9,275,4,0.421,9.2
58.4,282,4,0.419,9.2
58.1,279,4,0.415,9.1
57.6,285,4,0.416,9.1
57.1,289,4,0.41,9
56.7,287,4,0.405,8.9
56.3,288,4,0.401,8.9
55.6,297,5,0.398,8.8
55,32,5,0.394,8.8
54.4,36,5,0.388,8.3
53.9,37,5,0,8
53.5,38,5,0,7.7
53,38,5,0,7.4
52.8,35,5,0,7.1
52.5,32,5,0,6.7
52.1,3,5,0,6.4
66.2,215,0,0.638,10.3
66,217,0,0.636,10.3
65.9,218,0,0.633,10.3
65.8,22,0,0.63,10.6
65.6,229,0,0.624,10.3
65.9,221,0,0.618,10.2
66.1,218,0,0.618,10.5
66.3,218,1,0.618,10.7
65.7,232,1,0.62,11.2
65.2,24,1,0.622,11.7
65,238,1,0.619,11.4
65.1,237,1,0.613,11.2
65.3,237,1,0.611,11.1
65.3,244,1,0.609,11
65.4,247,1,0.606,10.9
65.4,246,1,0.602,10.9
63.5,24,14,0.49,9.1
63.1,245,14,0.487,9.1
62.7,253,14,0.483,9.1
62.3,259,15,0.477,8.9
62.3,259,15,0.47,8.7
36.3,682,23,0.47,8.6
62.5,251,16,0.466,8.5
62.1,259,16,0.462,8.4
61.8,266,17,0.458,8.4
61.1,28,17,0.455,8.3
65,29,17,0.452,8.2
58.7,32,18,0.45,8.1
59.7,3,18,0.447,8.1
59.3,33,19,0.444,8
58.9,35,19,0.443,7.9
58.6,35,20,0.439,7.8
74.6,147,3,0.623,11.2
74.5,149,3,0.618,11.4
74.3,15,4,0.614,11.6
74.1,151,4,0.614,11.6
73.9,153,4,0.611,11.7
73.6,156,4,0.606,11.5
73.4,157,4,0.603,11.3
73.2,159,4,0.597,11.1
73,16,5,0.59,10.9
72.8,161,5,0.583,10.8
72.5,163,5,0.577,10.6
72.2,165,5,0.571,10.4
71.9,166,6,0.566,10.3
71.6,169,6,0.561,10.1
71.3,171,6,0.557,9.9
71,174,6,0.551,9.8
75.8,134,0,0.834,15.6
75.6,137,0,0.834,15.8
75.5,139,0,0.824,15.4
75,146,0,0.823,15.4
74.8,15,0,0.821,15.4
74.5,156,0,0.817,15.3
74.2,162,0,0.816,15.3
74.1,165,1,0.812,15.3
73.5,176,1,0.809,15.3
73.4,177,1,0.802,15.2
72.9,182,1,0.795,15
72.9,18,1,0.793,15.3
72.5,184,1,0.784,14.9
72.5,184,1,0.775,14.6
72.3,185,1,0.769,14.2
71.7,193,1,0.761,13.9
82.7,49,0,0.919,19
82.5,49,0,0.915,19
82.4,5,0,0.907,19
82.5,5,0,0.901,18.7
82.1,51,0,0.894,18.6
81.8,53,0,0.894,18.4
81.6,55,0,0.894,18.4
81.4,58,0,0.892,18.2
81.3,59,0,0.887,18.2
81.1,61,0,0.884,18.1
81,62,0,0.879,17.9
88,65,0,0.873,18.3
87,65,0,0.866,17.6
84,7,0,0.859,17.2
80,72,0,0.854,17.1
79.7,74,0,0.847,16.8
68.3,181,910,0.615,11.6
68,184,957,0.607,11.6
67.6,187,1000,0.599,11.5
67.3,19,1100,0.59,11.3
66.8,193,1100,0.58,10.8
66.4,196,1200,0.569,10.4
66,2,1300,0.563,10.5
65.5,23,1300,0.556,10.2
65.2,26,1400,0.546,9.9
64.8,28,1500,0.536,9.7
64.4,211,1500,0.526,9.4
64,214,1600,0.518,9.2
63.7,216,1700,0.505,8.6
63.3,219,1700,0.499,8.4
62.9,222,1800,0.494,8.3
62.5,224,1800,0.489,8.3
69.1,176,114,0.686,12.9
68.9,179,119,0.682,12.9
68.7,181,124,0.677,12.9
68.5,183,129,0.669,12.6
68.3,185,134,0.662,12.3
68.1,187,138,0.656,12.1
67.9,189,143,0.645,11.7
67.7,189,149,0.641,11.7
67.5,19,154,0.638,11
67.3,191,159,0.632,10.9
67.2,19,163,0.629,11.1
65.3,213,174,0.624,11
66.9,189,173,0.613,10.8
66.7,189,177,0.608,10.6
66.5,188,182,0.604,10.6
66.3,188,187,0.597,10.7
75.5,83,18,0.774,14.8
75.4,83,19,0.77,14.9
75.3,83,20,0.769,15
75.1,85,21,0.755,13.6
74.7,93,22,0.745,13.1
74.1,16,22,0.735,12.9
73.3,122,23,0.728,12.8
72.7,135,24,0.716,12.1
72.4,138,25,0.704,11.8
72.2,139,26,0.692,11.4
72,139,27,0.687,11.4
71.8,139,28,0.686,11.8
75,154,29,0.679,11.8
71.2,142,31,0.674,11.9
78,146,33,0.666,11.6
73,15,35,0.66,11.6
68.9,182,32,0.649,10.1
67.9,199,32,0.658,10.1
69.5,17,32,0.659,10.3
76,147,32,0.656,10.5
77,144,32,0.649,10.4
76,145,32,0.646,10.4
74,148,32,0.643,10.3
69.3,167,32,0.638,10.3
65.9,227,31,0.636,10.2
64.7,249,31,0.631,10.2
66.8,29,31,0.628,10.1
67.2,21,30,0.603,9.8
66.5,213,30,0.616,9.4
74,14,30,0.614,9.1
72,142,30,0.607,8.7
70,144,30,0.603,8.6
81.4,64,0,0.92,18.6
81.2,66,0,0.91,18.6
81,67,0,0.902,18.6
85,69,0,0.895,18.5
84,7,0,0.909,18.5
86,68,0,0.907,18.2
79.7,77,0,0.909,17.9
79.8,75,0,0.908,17.9
79.5,75,0,0.902,17.6
79,78,0,0.896,17.6
78.7,78,0,0.889,17.5
78.3,82,0,0.88,17.1
78,82,0,0.87,16.8
77.4,88,0,0.862,16.5
77,89,0,0.857,16.4
76.4,94,0,0.848,16.2
82.5,58,0,0.898,16
82.2,6,1,0.895,16
82.1,61,1,0.891,15.9
81.8,6,1,0.889,15.9
81.8,61,1,0.883,15.8
81.7,61,1,0.878,15.7
81.5,63,1,0.876,15.6
81,65,1,0.877,15.8
84,68,1,0.872,15.7
84,68,1,0.87,15.7
80,71,1,0.866,15.8
81,69,1,0.863,15.9
79.7,71,1,0.863,16
79.3,74,1,0.855,15.3
79.3,74,1,0.85,15.1
78.9,76,1,0.845,15.2
82.7,56,1,0.881,16.3
82.5,57,2,0.877,16.3
82.3,58,2,0.876,16.5
82,6,2,0.877,16.6
82,6,2,0.872,16.4
81.8,6,2,0.869,16.4
81.6,61,2,0.868,16.3
81.5,61,2,0.866,16.3
81.3,63,2,0.862,16.1
81.2,65,2,0.856,16
88,66,2,0.851,15.8
89,66,2,0.846,15.6
79.9,72,2,0.841,15.4
80,72,2,0.836,15.2
79.8,75,2,0.828,14.9
79.4,77,3,0.823,14.8
76.2,125,1,0.729,12.8
75.8,133,1,0.727,12.8
75.6,136,1,0.727,12.8
75.3,138,1,0.725,12.8
75.2,139,1,0.722,12.8
75,138,1,0.721,12.7
74.7,142,1,0.721,12.7
74.5,145,1,0.718,12.6
74.2,148,1,0.714,12.5
74,15,1,0.709,12.5
73.5,161,1,0.706,12.4
73.3,165,1,0.689,11.1
73.1,166,1,0.694,11.9
73,167,1,0.69,11.7
72.7,171,1,0.68,10.9
72.6,171,1,0.682,11.4
83.7,55,2,0.902,15.3
83.5,57,2,0.899,15.3
83.5,56,2,0.894,15.3
83.3,58,2,0.889,15.3
82.5,64,3,0.884,15.1
83,62,3,0.879,15.1
83,64,3,0.881,15
82.7,66,3,0.88,15
82.6,67,3,0.877,15
82.4,68,3,0.873,14.9
82,69,3,0.87,14.9
82.1,68,3,0.866,14.8
81.9,7,3,0.863,14.8
81.8,7,3,0.86,14.7
81.5,72,4,0.856,14.6
81.1,74,4,0.852,14.5
74.1,112,4,0.741,13.1
74,113,4,0.737,13.1
73.9,114,4,0.737,13.1
73.7,115,4,0.735,12.9
73.6,116,4,0.737,13.1
73.4,117,4,0.739,13.2
73.3,118,4,0.742,13.6
73.1,119,4,0.739,13.6
73,12,4,0.736,13.6
72.8,121,4,0.733,13.7
72.4,127,4,0.73,13.8
72.5,125,4,0.723,13.5
72.3,127,4,0.717,13.2
72.1,129,4,0.712,13
71.9,131,4,0.706,12.7
71.7,133,4,0.7,12.6
72,198,4,0.793,15
69.9,22,5,0.789,15
69.5,28,5,0.782,15
69.1,214,6,0.774,14.7
68.5,224,7,0.766,14.4
67.8,236,7,0.763,14.5
67.8,235,7,0.758,14.6
66.6,258,8,0.758,14.6
65.3,288,8,0.754,14.7
65,295,8,0.747,14.3
64.6,294,8,0.737,13.9
64.7,287,8,0.725,13.5
64.4,282,8,0.714,13.1
64.7,276,8,0.7,12.7
64.4,284,8,0.685,12.3
63.9,292,9,0.676,12.1
63.4,249,54,0.55,11.1
62.9,255,56,0.546,11.1
62.6,258,58,0.541,11.1
62.1,263,59,0.536,11.1
61.2,278,60,0.53,11.1
63,294,61,0.523,11.1
59.1,317,62,0.514,10.7
57.9,339,64,0.506,10.4
56.8,356,66,0.494,10.1
55.3,388,68,0.483,9.7
54.1,412,70,0.474,9.6
53,432,72,0.461,8.9
52.4,437,74,0.45,8.2
52.1,437,76,0.451,8.5
51.9,434,77,0.447,8.4
51.9,428,77,0.448,8.4
66.3,198,0,0.586,11.9
66.1,2,0,0.597,11.9
65.8,22,0,0.589,11.9
65.7,24,0,0.581,11.9
65.5,26,0,0.585,11.9
65.3,27,0,0.584,11.9
65.2,28,0,0.576,11.9
65.1,21,0,0.572,11.6
65,211,0,0.574,11.8
65,212,0,0.576,12.1
64.9,213,0,0,12.2
64.8,214,0,0,12.4
64.7,215,0,0,11.6
64.6,217,0,0,11.7
64.3,219,0,0,10.4
64.1,222,0,0,10
74.7,81,0,0.799,13.3
74.6,82,0,0.787,13
74.5,83,1,0.796,13.1
74.3,84,1,0.794,13.2
74.2,85,1,0.792,13.4
74,86,1,0.79,13.5
73.9,87,1,0.788,13.6
73.8,88,1,0.787,13.8
73.7,89,1,0.787,13.9
73.6,89,1,0.787,14.1
73.6,9,0,0.789,14.2
73.5,91,0,0.791,14.4
73.4,93,0,0.788,14.1
73.3,94,0,0.785,13.9
73.2,95,0,0.786,14
73.2,96,0,0.786,14.1
71.1,166,3,0.662,13
78,17,3,0.656,12.8
77,174,3,0.647,12.5
69.9,18,3,0.638,12.3
69.4,188,4,0.632,12.1
68.8,199,4,0.631,12.2
68.5,21,4,0.629,12.4
67.6,217,4,0.624,12.6
67.2,229,4,0.618,12.6
66.7,234,4,0.613,12.5
66.9,224,4,0.612,12.4
67.1,218,4,0.609,12.5
66.6,217,4,0.602,12.2
66.7,215,4,0.601,12.1
67.2,217,4,0.593,11.8
66.6,225,4,0.586,11.4
65.7,194,8,0.582,10.8
65.3,199,8,0.573,10.6
64.9,23,9,0.563,10.4
64.4,28,9,0.554,10.2
64,213,9,0.542,9.9
63.6,218,10,0.535,9.6
63.1,223,10,0.525,9.4
62.6,228,10,0.518,9.2
62.1,234,11,0.509,9
61.5,24,11,0.503,9
61,246,11,0.494,8.7
64,252,12,0.485,8.6
59.8,259,12,0.477,8.3
59.3,265,13,0.468,8
58.7,271,13,0.463,8
58.1,278,14,0.459,8
74.6,153,0,0.828,16
74.4,156,0,0.822,16
74.1,161,0,0.814,15.4
73.8,163,0,0.812,15.5
73.6,169,0,0.81,15.8
72.8,18,0,0.815,16
72.6,184,0,0.821,16.4
71.9,199,0,0.819,16.3
78,221,0,0.814,16.2
75,229,0,0.807,16.2
76,216,0,0.791,15.9
71,26,0,0.776,15.5
78,29,0,0.761,15.2
73,219,0,0.746,14.8
69.9,228,0,0.728,14.2
71,218,0,0.716,13.7
74.9,98,1,0.763,13.3
74.8,99,1,0.763,13.3
74.9,97,1,0.766,13.3
75,93,1,0.763,13.3
75,93,1,0.758,13.2
74.9,94,1,0.752,13.3
74.7,95,1,0.746,13.2
74.5,98,1,0.74,13.1
74.4,98,1,0.731,12.9
74.1,1,1,0.733,13.2
73.9,11,1,0,13.7
73.7,13,1,0,14.2
73.5,15,1,0,14.8
73.2,17,1,0,15.2
73,11,1,0,15
72.7,112,1,0,14.9
53.7,484,4,0.495,10.7
52.1,522,4,0.491,10.8
52.1,518,4,0.484,11.1
52.2,513,4,0.479,11
52.3,52,4,0.469,11
51.1,527,4,0.464,10.9
49.4,566,4,0.453,10.8
47.8,592,5,0.447,10.7
46.2,633,4,0.44,10.6
45.3,654,5,0.437,10.7
44.5,675,5,0.437,10.7
44.8,666,5,0.439,10.7
45.5,648,5,0.44,10.5
46.4,622,5,0.446,10.4
47.8,586,5,0.443,10.3
49.3,543,5,0.445,9.6
61.4,259,8,0.427,9.9
58.1,329,8,0.426,9.9
61.1,258,9,0.419,9.8
67,261,9,0.416,9.6
62,266,9,0.406,9.5
59.7,272,9,0.403,9.6
59.2,277,10,0.4,9.7
58.6,281,10,0.394,9.8
57.9,286,10,0.383,9.9
56.7,32,11,0.377,10
55.3,316,12,0.372,10.1
54,329,12,0.335,10.2
50,42,13,0.373,10.3
56,371,13,0.376,10.4
51.5,333,14,0.386,10.5
51.9,39,14,0.338,8.7
72.7,138,1,0.719,13.4
72.4,143,2,0.73,13.4
72.9,134,2,0.735,13.4
72.9,133,2,0.706,13.7
71.3,161,2,0.756,14
72.8,132,2,0.755,14.3
72.7,132,2,0.757,14.6
72.6,132,2,0.757,14.8
72.5,132,2,0.756,15.1
72.2,134,2,0.752,15.4
71.9,138,2,0.748,15.7
71.5,141,2,0.747,15.9
71.3,144,3,0.74,16
71.1,146,3,0.736,15.8
71,147,3,0.732,15.7
78,148,3,0.727,15.5
73.6,165,0,0.846,16.5
73.4,169,0,0.841,16.5
73,178,0,0.834,16.4
73,176,0,0.83,16.5
72.8,18,0,0.826,16.7
72.4,188,0,0.824,16.8
72.2,192,0,0.825,16.6
71.1,224,0,0.82,16.5
72,24,0,0.812,16.4
76,229,0,0.807,16.4
78,222,0,0.798,16.2
71.6,24,0,0.792,16.3
71.6,22,0,0.78,15.8
71.4,22,0,0.77,15.3
71.2,21,0,0.757,14.7
71.6,2,0,0.745,14
82,63,0,0.896,13.9
81.7,65,0,0.892,13.9
81.4,68,0,0.892,13.9
81.1,7,0,0.892,13.9
88,72,0,0.894,13.9
86,73,0,0.884,13.7
83,76,0,0.888,13.5
80,8,0,0.887,13.5
79.7,82,0,0.877,13.5
79.4,85,0,0.88,13.5
78.8,9,0,0.874,13.5
78.7,92,0,0.867,13.5
78.6,92,0,0.865,13.6
78.3,95,0,0.86,13.5
78,96,0,0.854,13.4
77.8,98,0,0.848,13.5
65.5,22,28,0.511,10.3
65.1,225,29,0.509,10.3
64.7,23,29,0.508,10.3
64.3,235,30,0.506,10.2
63.8,241,31,0.504,10.2
63.3,248,32,0.503,10.2
62.8,254,33,0.5,9.7
62.3,259,34,0.491,9.4
61.9,261,35,0.483,9.1
61.4,263,36,0.478,9
69,265,37,0.473,8.9
64,267,38,0.466,8.7
59.9,268,40,0.457,8.5
59.3,271,41,0.462,8.3
58.7,276,42,0.456,8.2
57.9,283,44,0,8
58.3,365,26,0.473,10.8
57.6,377,27,0.466,10.7
56.7,394,29,0.459,10.7
55.3,42,31,0.454,10.7
54.1,441,32,0.444,10.6
52.9,462,35,0.43,10.2
51.5,491,36,0.415,9.9
50,525,36,0.4,9.6
48.5,559,37,0.387,9.7
47.1,587,38,0.377,9.6
46,66,39,0.371,9.7
45.1,615,40,0.366,10
44.6,613,43,0.362,10.3
44,67,46,0.388,10.4
43.5,599,48,0.387,10.1
43.1,588,51,0.391,10.7
75,123,4,0.787,13.1
74.8,126,4,0.783,13
74.6,128,3,0.779,12.9
74.5,129,3,0.776,12.9
74.3,13,3,0.774,13
74.1,131,3,0.764,12.8
74,131,3,0.756,12.6
73.8,132,3,0.747,12.5
73.7,133,3,0.736,12.3
73.6,134,3,0.732,12.7
73.4,135,3,0.734,12.9
73.2,137,3,0.731,12.7
73.1,138,3,0.724,12.1
72.9,14,4,0.723,12
72.7,144,4,0.725,11.9
72.4,149,4,0.715,11.6
78.5,61,0,0.701,12.7
78.2,62,0,0.693,12.7
77.9,64,0,0.683,12.4
77.6,65,0,0.675,12.1
77.3,67,0,0.663,11.8
76.7,73,0,0.653,11.6
76.3,75,0,0.651,11.8
75.9,81,0,0.641,11.8
75.4,82,0,0.632,11.9
75,88,0,0.622,12
74.3,93,0,0.625,12.1
73.4,16,0,0.617,12.2
72.7,112,0,0.601,11.8
71.8,124,0,0.597,12
78,129,0,0.587,11.8
69.6,139,0,0.577,11.3
58.2,266,52,0.438,8.4
57.8,272,52,0.43,8.2
57.3,275,53,0.421,8
57.2,27,53,0.411,7.7
56.8,271,54,0.404,7.5
56.5,273,54,0.396,7.3
56,276,55,0.385,7.1
55.5,278,55,0.36,5.8
55,282,56,0.363,6.4
54.3,288,57,0.35,6.1
53.6,29,57,0.338,5.8
52.8,296,58,0.333,5.5
52,299,59,0.318,5.2
51.2,31,60,0.308,4.9
55,34,60,0.297,4.6
49.8,37,60,0.291,4.4
81.7,54,0,0.853,14.6
81.4,55,0,0.847,14.3
81.1,57,0,0.828,14.2
81,58,0,0.821,14.1
87,59,0,0.826,14.8
83,62,0,0.819,14.6
82,63,0,0.815,14.4
80,64,0,0.813,14.6
79.6,65,0,0.808,14.4
79.3,66,0,0.809,14.8
79,67,0,0.805,14.8
78.7,69,0,0.797,14.2
78.5,71,0,0.79,13.8
78.2,75,0,0.786,13.8
77.8,79,0,0.783,13.7
77.5,8,0,0.779,13.8
,,0,,0
63.1,25,8,0.513,8.5
63,26,8,0.509,8.5
62.7,28,8,0.501,8.2
62.5,29,8,0.491,7.8
62.2,212,8,0.487,7.7
62,214,8,0.484,7.6
61.7,215,8,0.476,7.1
61.4,217,8,0.475,7.2
61.2,219,8,0.475,7.4
69,221,8,0.466,7.2
66,223,8,0.461,7.2
64,224,8,0.451,6.7
63,226,8,0.447,6.6
62,228,7,0.446,6.5
61,229,7,0.444,6.5
60,23,7,0.443,6.4
74.6,146,0,0.779,15.2
74.2,148,0,0.769,14.7
74.1,147,0,0.765,14.7
73.9,154,0,0.756,14.3
73.6,158,0,0.748,14.1
73.3,163,0,0.74,14
72.8,166,0,0.734,13.8
72.7,166,0,0.728,13.6
72.9,161,0,0.72,13.5
71.8,165,0,0.713,13.4
72.1,168,0,0.704,13
71.9,168,0,0.696,12.8
71.5,174,0,0.687,12.6
71.5,179,0,0.683,12.5
71.5,177,0,0.673,12.2
71,177,0,0.667,12.1
76.7,122,30,0.758,13.3
76.6,122,31,0.754,13.1
76.6,12,32,0.753,12.9
76.3,123,33,0.748,12.7
76.1,124,34,0.745,12.6
75.6,127,35,0.739,12.5
75.7,13,36,0.738,12.5
75.6,127,37,0.735,12.3
76,123,38,0.731,12.3
75.8,125,40,0.723,12.2
75.3,126,42,0.719,12.2
75.4,124,44,0.714,12.1
75,127,46,0.708,11.9
75,127,49,0.703,11.6
75,126,52,0.7,11.6
74.8,129,55,0.694,11.4
69.4,166,0,0.637,11.7
69.4,164,0,0.639,11.7
69.2,166,0,0.641,11.7
69,168,0,0.64,11.7
68.9,169,0,0.638,11.7
68.7,171,0,0.633,11.5
68.5,172,0,0.629,11.4
68.4,174,0,0.628,11.2
68.2,175,0,0.625,11
68,176,0,0.622,10.9
67.9,178,0,0.617,10.7
67.7,179,0,0.616,10.5
67.5,18,0,0.612,10.4
66.2,21,0,0.608,10.2
67.2,183,0,0.604,10.1
67,185,0,0,0
,,0,,
68.8,222,1,0.733,14.8
68.4,225,1,0.729,14.8
68.1,227,1,0.72,14.7
67.8,231,1,0.712,14.7
67.3,235,1,0.701,14.6
66.3,25,1,0.693,14.3
66.9,235,1,0.686,13.8
67.4,225,2,0.673,13.4
65.9,26,2,0.661,13
65,271,2,0.649,12.7
64.5,274,2,0.637,11.8
64,284,2,0.621,11.2
64,271,2,0.609,10.5
63.8,263,2,0.599,10.1
63.2,266,2,0.588,9.4
62.8,274,2,0.582,8.9
76.1,16,0,0.804,15.1
75.9,17,0,0.803,15.1
75.8,19,0,0.799,15.1
75.6,11,0,0.797,15.1
75.4,113,0,0.792,15.1
75.3,115,0,0.787,15
75,117,0,0.785,14.6
74.6,121,0,0.774,14.2
74.2,125,0,0.762,13.6
73.8,13,0,0.751,13.2
73.6,133,0,0.746,12.8
73.5,134,0,0.74,12.6
73.5,134,0,0,0
73.4,136,0,0,0
73.3,136,0,0,0
73,144,0,0,0
74.3,95,17,0.645,12.1
74.1,96,18,0.64,12.1
73.9,97,18,0.634,12.1
73.6,99,19,0.623,11.6
73.3,14,19,0.612,11.2
72.8,11,20,0.603,10.7
72.3,116,20,0.596,10.5
71.8,123,21,0.589,10.3
71.4,128,21,0.581,10
71,133,22,0.575,10
77,137,22,0.569,9.8
72,142,23,0.561,9.6
69.9,146,24,0.551,9.3
69.5,15,25,0.54,8.8
69,155,26,0.53,8.5
68.6,16,27,0.519,8
57.6,355,60,0.414,9.1
56.7,375,61,0.409,9.1
55.3,46,62,0.405,9.1
54.8,48,64,0.4,9.2
54.3,47,66,0.397,9.5
54,47,69,0.39,9.3
53.8,4,70,0.382,9.2
53.2,45,72,0.372,8.8
52.1,425,74,0.36,8.2
51.2,434,78,0.353,7.9
58,434,80,0.341,7.3
54,429,82,0.332,7
51,424,85,0.318,6.7
49.8,416,87,0.311,6.2
49.5,48,90,0.298,5.8
49,43,93,0.291,5.4
66.6,199,39,0.552,9.1
66.4,21,40,0.547,9.1
66.2,22,42,0.54,9.1
65.9,25,44,0.533,9.1
65.6,27,47,0.526,9.1
65.4,29,49,0.515,8.8
65.2,211,52,0.504,8.5
59.2,296,59,0.493,8.2
64.5,217,58,0.484,8.1
64.2,22,61,0.474,8
63.9,224,64,0.465,7.9
63.5,228,66,0.455,7.8
63.2,231,69,0.445,7.7
62.8,235,71,0.435,7.6
62.5,239,72,0.427,7.6
62.1,243,73,0.417,7.5
65.8,248,2,0.637,11.7
65.9,242,2,0.632,11.7
66.1,232,3,0.625,11.6
65.8,232,3,0.619,11.5
64.3,268,3,0.612,11.5
63,299,3,0.604,11.4
62.4,36,3,0.598,11.4
61.7,317,3,0.589,11.3
60,356,3,0.578,11.3
57,431,3,0.57,11.4
55.1,477,3,0.565,11.6
54.7,483,3,0.559,11.7
55,471,3,0.554,11.7
55.7,452,3,0.556,11.8
56.5,426,3,0.556,11.7
57.4,41,3,0.559,11.5
,,0,,9.6
69.2,165,17,0.555,12.2
69.6,158,18,0.551,12.4
69.3,162,19,0.545,12.3
68.9,167,20,0.538,12.3
68.4,172,22,0.529,12
68,178,23,0.515,11.1
67.5,183,25,0.502,10.5
67,189,27,0.492,10.1
66.6,194,29,0.486,10
66,21,31,0.476,9.6
65.4,28,33,0.469,9.4
64.7,218,35,0.463,9.3
64.3,22,38,0.457,9.2
63.1,238,40,0.447,8.6
63.2,23,43,0.446,9
62.5,238,46,0.439,8.9
81.9,57,1,0.923,18.1
81.7,58,1,0.923,18.1
81.4,6,1,0.922,18.1
81.1,62,1,0.921,18.1
81.1,63,1,0.911,17.2
88,64,1,0.906,17
86,65,1,0.906,16.9
83,68,1,0.905,16.8
82,68,1,0.899,16.6
79.8,71,1,0.893,16.5
79.4,72,1,0.888,16.4
79.2,77,1,0.885,16.5
78.7,8,1,0.881,16.5
78.4,81,1,0.882,16.9
78.3,82,1,0.878,16.7
78.1,84,1,0.873,16.5
